u, t, f(u), f(t)
23/105, 82/59, 810601/1157625, 1442595/205379
23/106, 83/60, 104970/148877, 185447/27000
23/107, 84/61, 869555/1225043, 1525285/226981
23/108, 85/62, 112499/157464, 195966/29791
23/109, 86/63, 931077/1295029, 1610911/250047
23/110, 87/64, 120352/166375, 206855/32768
23/111, 88/65, 995215/1367631, 1699521/274625
23/112, 89/66, 128535/175616, 218120/35937
23/113, 90/67, 1062017/1442897, 1791163/300763
23/114, 91/68, 137054/185193, 229767/39304
23/116, 93/70, 145915/195112, 241802/42875
23/117, 94/71, 1203805/1601613, 1983735/357911
23/118, 95/72, 155124/205379, 254231/46656
23/119, 96/73, 1278887/1685159, 2084761/389017
23/120, 97/74, 164687/216000, 267060/50653
23/121, 98/75, 1356825/1771561, 2189011/421875
23/122, 99/76, 174610/226981, 280295/54872
23/123, 100/77, 1437667/1860867, 2296533/456533
23/124, 101/78, 184899/238328, 293942/59319
23/125, 102/79, 1521461/1953125, 2407375/493039
23/126, 103/80, 195560/250047, 308007/64000
23/127, 58/127, 1608255/2048383, 191455/2048383
23/127, 69/11, 1608255/2048383, 2210435/1331
23/127, 104/81, 1608255/2048383, 2521585/531441
23/128, 105/82, 206599/262144, 322496/68921
23/129, 106/83, 1698097/2146689, 2639211/571787
23/130, 107/84, 218022/274625, 337415/74088
23/131, 108/85, 1791035/2248091, 2760301/614125
23/132, 109/86, 229835/287496, 352770/79507
23/133, 110/87, 1887117/2352637, 2884903/658503
23/134, 111/88, 242044/300763, 368567/85184
23/135, 112/89, 1986391/2460375, 3013065/704969
23/136, 113/90, 254655/314432, 384812/91125
23/137, 114/91, 2088905/2571353, 3144835/753571
23/139, 116/93, 2194707/2685619, 3280261/804357
23/140, 117/94, 281107/343000, 418670/103823
23/141, 118/95, 2303845/2803221, 3419391/857375
23/142, 119/96, 294960/357911, 436295/110592
23/143, 120/97, 2416367/2924207, 3562273/912673
23/144, 121/98, 309239/373248, 454392/117649
23/145, 122/99, 2532321/3048625, 3708955/970299
23/146, 123/100, 323950/389017, 472967/125000
23/147, 124/101, 2651755/3176523, 3859485/1030301
23/148, 125/102, 339099/405224, 492026/132651
23/149, 126/103, 2774717/3307949, 4013911/1092727
23/150, 127/104, 354692/421875, 511575/140608
23/151, 128/105, 2901255/3442951, 4172281/1157625
23/152, 129/106, 370735/438976, 531620/148877
23/153, 130/107, 3031417/3581577, 4334643/1225043
23/154, 131/108, 387234/456533, 552167/157464
23/155, 132/109, 3165251/3723875, 4501045/1295029
23/156, 133/110, 404195/474552, 573222/166375
23/157, 134/111, 3302805/3869893, 4671535/1367631
23/158, 135/112, 421624/493039, 594791/175616
23/159, 136/113, 3444127/4019679, 4846161/1442897
23/160, 137/114, 439527/512000, 616880/185193
23/162, 139/116, 457910/531441, 639495/195112
23/163, 140/117, 3738267/4330747, 5208013/1601613
23/164, 141/118, 476779/551368, 662642/205379
23/165, 142/119, 3891181/4492125, 5395335/1685159
23/166, 143/120, 496140/571787, 686327/216000
23/167, 144/121, 4048055/4657463, 5586985/1771561
23/168, 145/122, 515999/592704, 710556/226981
23/169, 146/123, 4208937/4826809, 5783011/1860867
23/170, 147/124, 536362/614125, 735335/238328
23/171, 148/125, 4373875/5000211, 5983461/1953125
23/172, 149/126, 557235/636056, 760670/250047
23/173, 150/127, 4542917/5177717, 6188383/2048383
23/174, 151/128, 578624/658503, 786567/262144
23/175, 152/129, 4716111/5359375, 6397825/2146689
23/176, 153/130, 600535/681472, 813032/274625
23/177, 154/131, 4893505/5545233, 6611835/2248091
23/178, 155/132, 622974/704969, 840071/287496
23/179, 156/133, 5075147/5735339, 6830461/2352637
23/180, 157/134, 645947/729000, 867690/300763
23/181, 158/135, 5261085/5929741, 7053751/2460375
23/182, 159/136, 669460/753571, 895895/314432
23/183, 160/137, 5451367/6128487, 7281753/2571353
23/185, 162/139, 5646041/6331625, 7514515/2685619
23/186, 163/140, 718130/804357, 954087/343000
23/187, 164/141, 5845155/6539203, 7752085/2803221
23/188, 97/100, 743299/830584, 96773/125000
23/188, 165/142, 743299/830584, 984086/357911
23/189, 166/143, 6048757/6751269, 7994511/2924207
23/190, 167/144, 769032/857375, 1014695/373248
23/191, 168/145, 6256895/6967871, 8241841/3048625
23/192, 169/146, 795335/884736, 1045920/389017
23/193, 170/147, 6469617/7189057, 8494123/3176523
23/194, 171/148, 822214/912673, 1077767/405224
23/195, 172/149, 6686971/7414875, 8751405/3307949
23/196, 173/150, 849675/941192, 1110242/421875
23/197, 174/151, 6909005/7645373, 9013735/3442951
23/198, 175/152, 877724/970299, 1143351/438976
23/199, 176/153, 7135767/7880599, 9281161/3581577
24/49, 25, 2449/117649, 120001
24/49, 40/49, 2449/117649, 2449/117649
24/49, 64/79, 2449/117649, 1519/493039
24/53, 29/5, 15245/148877, 161597/125
24/55, 31/7, 23527/166375, 184855/343
24/59, 35/11, 44099/205379, 236531/1331
24/61, 27/65, 56485/226981, 53009/274625
24/61, 37/13, 56485/226981, 265045/2197
24/61, 38/11, 56485/226981, 313235/1331
24/65, 41/17, 85697/274625, 327665/4913
24/65, 101/117, 85697/274625, 295885/1601613
24/67, 43/19, 102619/300763, 361867/6859
24/71, 47/23, 141335/357911, 436295/12167
24/73, 49/25, 163225/389017, 476617/15625
24/77, 53/29, 212309/456533, 563717/24389
24/79, 55/31, 239599/493039, 610591/29791
24/83, 59/35, 299915/571787, 711227/42875
24/85, 61/37, 333037/614125, 765085/50653
24/89, 65/41, 405449/704969, 880121/68921
24/91, 67/43, 444835/753571, 941395/79507
24/95, 71/47, 530207/857375, 1071695/103823
24/97, 73/49, 576289/912673, 1140817/117649
24/101, 77/53, 675485/1030301, 1287245/148877
24/103, 79/55, 728695/1092727, 1364647/166375
24/107, 83/59, 842579/1225043, 1528067/205379
24/109, 85/61, 903349/1295029, 1614181/226981
24/113, 89/65, 1032785/1442897, 1795457/274625
24/115, 91/67, 1101547/1520875, 1890715/300763
24/119, 95/71, 1247399/1685159, 2090711/357911
24/121, 97/73, 1324585/1771561, 2195545/389017
24/125, 71/70, 1487717/1953125, 47916/42875
24/125, 101/77, 1487717/1953125, 2415125/456533
24/125, 107/88, 1487717/1953125, 302715/85184
24/127, 103/79, 1573759/2048383, 2529967/493039
24/131, 107/83, 1755035/2248091, 2769995/571787
24/133, 109/85, 1850365/2352637, 2895277/614125
24/137, 113/89, 2050649/2571353, 3156617/704969
24/139, 115/91, 2155699/2685619, 3292771/753571
24/143, 119/95, 2375855/2924207, 3576287/857375
24/145, 121/97, 2491057/3048625, 3723745/912673
24/149, 125/101, 2731949/3307949, 4030301/1030301
24/151, 127/103, 2857735/3442951, 4189495/1092727
24/155, 131/107, 3120227/3723875, 4519955/1225043
24/157, 133/109, 3257029/3869893, 4691317/1295029
24/161, 137/113, 3541985/4173281, 5046545/1442897
24/163, 139/115, 3690235/4330747, 5230507/1520875
24/167, 143/119, 3998519/4657463, 5611367/1685159
24/169, 145/121, 4158649/4826809, 5808361/1771561
24/173, 149/125, 4491125/5177717, 6215717/1953125
24/175, 151/127, 4663567/5359375, 6426175/2048383
24/179, 155/131, 5021099/5735339, 6860891/2248091
24/181, 157/133, 5206285/5929741, 7085245/2352637
24/185, 161/137, 5589737/6331625, 7548185/2571353
24/187, 163/139, 5788099/6539203, 7786867/2685619
24/191, 167/143, 6198335/6967871, 8278895/2924207
24/193, 169/145, 6410305/7189057, 8532337/3048625
24/197, 173/149, 6848189/7645373, 9054317/3307949
24/199, 175/151, 7074199/7880599, 9322951/3442951
25, 40/49, 120001, 2449/117649
25, 64/79, 120001, 1519/493039
25/11, 35/39, 71331/1331, 20119/59319
25/11, 49/59, 71331/1331, 13299/205379
25/13, 181/37, 62197/2197, 37791325/50653
25/19, 30/31, 36859/6859, 22591/29791
25/19, 36/41, 36859/6859, 17081/68921
25/31, 41/81, -209/29791, -6479/531441
25/31, 47/62, -209/29791, -3344/29791
25/51, 26, 2651/132651, 135201
25/52, 27/2, 701/17576, 18226
25/52, 51/50, 701/17576, 18226/15625
25/53, 28/3, 8877/148877, 156827/27
25/54, 29/4, 1558/19683, 21033/8
25/56, 31/6, 2577/21952, 24052/27
25/57, 32/7, 25193/185193, 205143/343
25/58, 27/25, 3764/24389, 27289/15625
25/58, 33/8, 3764/24389, 27289/64
25/59, 34/9, 35379/205379, 231929/729
25/61, 36/11, 46981/226981, 260531/1331
25/62, 37/12, 6666/29791, 34441/216
25/63, 38/13, 60047/250047, 290997/2197
25/64, 39/14, 8393/32768, 38368/343
25/66, 41/16, 10312/35937, 42537/512
25/67, 42/17, 90763/300763, 357713/4913
25/68, 43/18, 12429/39304, 46954/729
25/68, 59/50, 12429/39304, 46954/15625
25/69, 44/19, 108509/328509, 394059/6859
25/71, 46/21, 127911/357911, 432461/9261
25/72, 47/22, 17281/46656, 56556/1331
25/73, 48/23, 149017/389017, 472967/12167
25/74, 49/24, 20028/50653, 61753/1728
25/76, 51/26, 22997/54872, 67222/2197
25/77, 52/27, 196533/456533, 560483/19683
25/78, 53/28, 26194/59319, 72969/2744
25/79, 54/29, 223039/493039, 607589/24389
25/81, 56/31, 251441/531441, 656991/29791
25/82, 33/25, 33296/68921, 85321/15625
25/82, 57/32, 33296/68921, 85321/4096
25/83, 58/33, 281787/571787, 708737/35937
25/84, 59/34, 37213/74088, 91938/4913
25/86, 61/36, 41382/79507, 98857/5832
25/87, 62/37, 348503/658503, 819453/50653
25/88, 63/38, 45809/85184, 106084/6859
25/89, 64/39, 384969/704969, 878519/59319
25/91, 66/41, 423571/753571, 940121/68921
25/92, 67/42, 55461/97336, 121486/9261
25/93, 68/43, 464357/804357, 1004307/79507
25/94, 69/44, 60698/103823, 129673/10648
25/96, 71/46, 66217/110592, 138192/12167
25/97, 72/47, 552673/912673, 1140623/103823
25/98, 73/48, 72024/117649, 147049/13824
25/99, 74/49, 600299/970299, 1212849/117649
25/101, 76/51, 650301/1030301, 1287851/132651
25/102, 77/52, 84526/132651, 165801/17576
25/103, 78/53, 702727/1092727, 1365677/148877
25/104, 79/54, 91233/140608, 175708/19683
25/106, 81/56, 98252/148877, 185977/21952
25/107, 82/57, 815043/1225043, 1529993/185193
25/108, 83/58, 105589/157464, 196614/24389
25/109, 84/59, 875029/1295029, 1616579/205379
25/111, 86/61, 937631/1367631, 1706181/226981
25/112, 87/62, 121241/175616, 219016/29791
25/113, 88/63, 1002897/1442897, 1798847/250047
25/114, 89/64, 129568/185193, 230793/32768
25/116, 91/66, 138237/195112, 242962/35937
25/117, 92/67, 1141613/1601613, 1993563/300763
25/118, 93/68, 147254/205379, 255529/39304
25/119, 94/69, 1215159/1685159, 2095709/328509
25/121, 96/71, 1291561/1771561, 2201111/357911
25/122, 43/25, 166356/226981, 281881/15625
25/122, 97/72, 166356/226981, 281881/46656
25/123, 98/73, 1370867/1860867, 2309817/389017
25/124, 99/74, 176453/238328, 295678/50653
25/126, 101/76, 186922/250047, 309897/54872
25/127, 102/77, 1538383/2048383, 2537333/456533
25/128, 103/78, 197769/262144, 324544/59319
25/129, 104/79, 1626689/2146689, 2656239/493039
25/131, 106/81, 1718091/2248091, 2778641/531441
25/132, 107/82, 220621/287496, 355146/68921
25/133, 108/83, 1812637/2352637, 2904587/571787
25/134, 109/84, 232638/300763, 371113/74088
25/136, 111/86, 245057/314432, 387532/79507
25/137, 112/87, 2011353/2571353, 3167303/658503
25/138, 113/88, 257884/328509, 404409/85184
25/139, 114/89, 2115619/2685619, 3304169/704969
25/141, 116/91, 2223221/2803221, 3444771/753571
25/142, 117/92, 284786/357911, 439561/97336
25/143, 118/93, 2334207/2924207, 3589157/804357
25/144, 119/94, 298873/373248, 457848/103823
25/146, 121/96, 313392/389017, 476617/110592
25/147, 122/97, 2566523/3176523, 3889473/912673
25/148, 49/148, 328349/405224, 167525/405224
25/148, 99/50, 328349/405224, 495874/15625
25/148, 123/98, 328349/405224, 495874/117649
25/149, 124/99, 2687949/3307949, 4045499/970299
25/151, 126/101, 2812951/3442951, 4205501/1030301
25/152, 127/102, 359601/438976, 535876/132651
25/153, 128/103, 2941577/3581577, 4369527/1092727
25/154, 129/104, 375908/456533, 556633/140608
25/156, 131/106, 392677/474552, 577902/148877
25/157, 132/107, 3209893/3869893, 4709843/1225043
25/158, 133/108, 409914/493039, 599689/157464
25/159, 134/109, 3349679/4019679, 4886229/1295029
25/161, 136/111, 3493281/4173281, 5066831/1367631
25/162, 137/112, 445816/531441, 644841/175616
25/163, 138/113, 3640747/4330747, 5251697/1442897
25/164, 139/114, 464493/551368, 668218/185193
25/166, 141/116, 483662/571787, 692137/195112
25/167, 142/117, 3947463/4657463, 5634413/1601613
25/168, 143/118, 503329/592704, 716604/205379
25/169, 144/119, 4106809/4826809, 5832359/1685159
25/171, 146/121, 4270211/5000211, 6034761/1771561
25/172, 147/122, 544181/636056, 767206/226981
25/173, 148/123, 4437717/5177717, 6241667/1860867
25/174, 149/124, 565378/658503, 793353/238328
25/176, 151/126, 587097/681472, 820072/250047
25/177, 152/127, 4785233/5545233, 6669183/2048383
25/178, 32/89, 609344/704969, 238025/704969
25/178, 57/25, 609344/704969, 847369/15625
25/178, 153/128, 609344/704969, 847369/262144
25/179, 154/129, 4965339/5735339, 6889889/2146689
25/181, 156/131, 5149741/5929741, 7115291/2248091
25/182, 157/132, 655446/753571, 903721/287496
25/183, 158/133, 5338487/6128487, 7345437/2352637
25/184, 159/134, 679313/778688, 932788/300763
25/186, 161/136, 703732/804357, 962457/314432
25/187, 162/137, 5729203/6539203, 7820153/2571353
25/188, 163/138, 728709/830584, 992734/328509
25/189, 164/139, 5931269/6751269, 8064819/2685619
25/191, 166/141, 6137871/6967871, 8314421/2803221
25/192, 167/142, 780361/884736, 1055136/357911
25/193, 168/143, 6349057/7189057, 8569007/2924207
25/194, 169/144, 807048/912673, 1087273/373248
25/196, 171/146, 834317/941192, 1120042/389017
25/197, 172/147, 6785373/7645373, 9093323/3176523
25/198, 173/148, 862174/970299, 1153449/405224
25/199, 174/149, 7010599/7880599, 9363149/3307949
26/7, 141/79, 103095/343, 10354015/493039
26/53, 27, 2861/148877, 151633
26/55, 29/3, 9543/166375, 174955/27
26/57, 31/5, 17545/185193, 200013/125
26/57, 163/152, 17545/185193, 731235/438976
26/59, 33/7, 26915/205379, 226855/343
26/61, 35/9, 37701/226981, 255529/729
26/61, 42/25, 37701/226981, 255529/15625
26/61, 135/142, 37701/226981, 230336/357911
26/63, 37/11, 49951/250047, 286083/1331
26/67, 41/15, 79035/300763, 353023/3375
26/69, 43/17, 95965/328509, 389505/4913
26/71, 45/19, 114551/357911, 428059/6859
26/73, 47/21, 134841/389017, 468733/9261
26/75, 49/23, 156883/421875, 511575/12167
26/77, 51/25, 180725/456533, 556633/15625
26/79, 53/27, 206415/493039, 603955/19683
26/81, 55/29, 234001/531441, 653589/24389
26/83, 57/31, 263531/571787, 705583/29791
26/85, 59/33, 295053/614125, 759985/35937
26/87, 61/35, 328615/658503, 816843/42875
26/89, 63/37, 364265/704969, 876205/50653
26/93, 67/41, 442021/804357, 1002633/68921
26/95, 69/43, 484223/857375, 1069795/79507
26/97, 71/45, 528705/912673, 1139653/91125
26/99, 73/47, 575515/970299, 1212255/103823
26/101, 75/49, 624701/1030301, 1287649/117649
26/103, 77/51, 676311/1092727, 1365883/132651
26/105, 79/53, 730393/1157625, 1447005/148877
26/107, 81/55, 786995/1225043, 1531063/166375
26/109, 83/57, 846165/1295029, 1618105/185193
26/111, 85/59, 907951/1367631, 1708179/205379
26/113, 87/61, 972401/1442897, 1801333/226981
26/115, 89/63, 1039563/1520875, 1897615/250047
26/119, 93/67, 1182215/1685159, 2099755/300763
26/121, 95/69, 1257801/1771561, 2205709/328509
26/123, 97/71, 1336291/1860867, 2314983/357911
26/125, 99/73, 1417733/1953125, 2427625/389017
26/127, 101/75, 1502175/2048383, 2543683/421875
26/129, 103/77, 1589665/2146689, 2663205/456533
26/131, 105/79, 1680251/2248091, 2786239/493039
26/133, 107/81, 1773981/2352637, 2912833/531441
26/135, 109/83, 1870903/2460375, 3043035/571787
26/137, 111/85, 1971065/2571353, 3176893/614125
26/139, 113/87, 2074515/2685619, 3314455/658503
26/141, 115/89, 2181301/2803221, 3455769/704969
26/145, 119/93, 2405073/3048625, 3749845/804357
26/147, 121/95, 2522155/3176523, 3902703/857375
26/147, 143/147, 2522155/3176523, 2522155/3176523
26/147, 169/191, 2522155/3176523, 1941135/6967871
26/149, 123/97, 2642765/3307949, 4059505/912673
26/151, 125/99, 2766951/3442951, 4220299/970299
26/153, 127/101, 2894761/3581577, 4385133/1030301
26/155, 129/103, 3026243/3723875, 4554055/1092727
26/157, 131/105, 3161445/3869893, 4727113/1157625
26/159, 133/107, 3300415/4019679, 4904355/1225043
26/161, 135/109, 3443201/4173281, 5085829/1295029
26/163, 137/111, 3589851/4330747, 5271583/1367631
26/165, 139/113, 3740413/4492125, 5461665/1442897
26/167, 141/115, 3894935/4657463, 5656123/1520875
26/171, 145/119, 4216051/5000211, 6058359/1685159
26/173, 147/121, 4382741/5177717, 6266233/1771561
26/175, 149/123, 4553583/5359375, 6478675/1860867
26/177, 151/125, 4728625/5545233, 6695733/1953125
26/179, 153/127, 4907915/5735339, 6917455/2048383
26/181, 155/129, 5091501/5929741, 7143889/2146689
26/183, 157/131, 5279431/6128487, 7375083/2248091
26/185, 159/133, 5471753/6331625, 7611085/2352637
26/187, 161/135, 5668515/6539203, 7851943/2460375
26/189, 163/137, 5869765/6751269, 8097705/2571353
26/191, 165/139, 6075551/6967871, 8348419/2685619
26/193, 167/141, 6285921/7189057, 8604133/2803221
26/197, 171/145, 6720605/7645373, 9130753/3048625
26/199, 173/147, 6945015/7880599, 9401755/3176523
27/2, 51/50, 18226, 18226/15625
27/25, 33/8, 27289/15625, 27289/64
27/29, 60/121, 12725/24389, 14761/1771561
27/29, 61, 12725/24389, 1786081
27/35, 94/125, -3781/42875, -238203/1953125
27/55, 28, 3079/166375, 169345
27/56, 29/2, 811/21952, 22708
27/58, 31/4, 1790/24389, 25955/8
27/59, 32/5, 18755/205379, 221309/125
27/59, 47/49, 18755/205379, 82305/117649
27/59, 51/62, 18755/205379, 1180/29791
27/61, 34/7, 28693/226981, 250039/343
27/62, 35/8, 4276/29791, 33139/64
27/64, 37/10, 5795/32768, 37088/125
27/64, 37/38, 5795/32768, 5490/6859
27/64, 89/98, 5795/32768, 46360/117649
27/64, 159/196, 5795/32768, 5795/941192
27/65, 37/13, 53009/274625, 265045/2197
27/65, 38/11, 53009/274625, 313235/1331
27/67, 40/13, 67483/300763, 347797/2197
27/68, 41/14, 9415/39304, 45730/343
27/70, 43/16, 11528/42875, 50435/512
27/71, 44/17, 101303/357911, 423089/4913
27/73, 46/19, 120745/389017, 463915/6859
27/74, 47/20, 16390/50653, 60643/1000
27/76, 49/22, 19151/54872, 66158/1331
27/77, 50/23, 164933/456533, 552167/12167
27/79, 52/25, 189775/493039, 599689/15625
27/80, 53/26, 25363/64000, 78040/2197
27/82, 55/28, 28826/68921, 84419/2744
27/83, 56/29, 245195/571787, 701765/24389
27/85, 58/31, 275869/614125, 756415/29791
27/86, 59/32, 36496/79507, 98083/4096
27/88, 61/34, 40715/85184, 105380/4913
27/89, 62/35, 343385/704969, 873179/42875
27/91, 64/37, 380323/753571, 935389/50653
27/92, 65/38, 49951/97336, 120934/6859
27/94, 67/40, 54980/103823, 129203/8000
27/95, 68/41, 460799/857375, 1067705/68921
27/97, 70/43, 504433/912673, 1137907/79507
27/98, 71/44, 65890/117649, 146755/10648
27/100, 73/46, 71783/125000, 156050/12167
27/101, 74/47, 598733/1030301, 1286639/103823
27/103, 76/49, 649495/1092727, 1365265/117649
27/104, 77/50, 84475/140608, 175708/15625
27/106, 79/52, 91286/148877, 186083/17576
27/107, 80/53, 758483/1225043, 1531277/148877
27/109, 82/55, 816805/1295029, 1618759/166375
27/110, 83/56, 105868/166375, 207955/21952
27/112, 85/58, 113651/175616, 219464/24389
27/113, 86/59, 941345/1442897, 1802915/205379
27/115, 88/61, 1007659/1520875, 1899685/226981
27/116, 89/62, 130231/195112, 243658/29791
27/118, 91/64, 139040/205379, 256355/32768
27/119, 92/65, 1148615/1685159, 2102849/274625
27/121, 94/67, 1223353/1771561, 2209339/300763
27/122, 95/68, 157726/226981, 282979/39304
27/124, 97/70, 167615/238328, 296918/42875
27/125, 98/71, 1381589/1953125, 2432375/357911
27/127, 100/73, 1465183/2048383, 2549017/389017
27/128, 101/74, 188515/262144, 326080/50653
27/130, 103/76, 199538/274625, 341315/54872
27/131, 104/77, 1641563/2248091, 2792789/456533
27/133, 106/79, 1734445/2352637, 2920015/493039
27/134, 107/80, 222760/300763, 373123/64000
27/136, 109/82, 234971/314432, 389708/68921
27/137, 110/83, 1929833/2571353, 3185387/571787
27/139, 112/85, 2032435/2685619, 3323629/614125
27/140, 113/86, 260623/343000, 424270/79507
27/142, 115/88, 274076/357911, 442259/85184
27/143, 116/89, 2247695/2924207, 3611465/704969
27/145, 118/91, 2360449/3048625, 3761155/753571
27/146, 119/92, 302266/389017, 479683/97336
27/148, 121/94, 317015/405224, 499130/103823
27/149, 122/95, 2596445/3307949, 4072319/857375
27/151, 124/97, 2719783/3442951, 4233889/912673
27/152, 125/98, 347851/438976, 539524/117649
27/154, 127/100, 363950/456533, 560483/125000
27/155, 128/101, 2977379/3723875, 4569245/1030301
27/157, 130/103, 3111733/3869893, 4743127/1092727
27/158, 131/104, 397540/493039, 603955/140608
27/160, 133/106, 415043/512000, 626480/148877
27/161, 134/107, 3391793/4173281, 5103539/1225043
27/163, 136/109, 3537595/4330747, 5290165/1295029
27/164, 137/110, 451495/551368, 673138/166375
27/166, 139/112, 470456/571787, 697283/175616
27/167, 140/113, 3840983/4657463, 5676497/1442897
27/169, 142/115, 3998665/4826809, 5876299/1520875
27/170, 143/116, 509878/614125, 747235/195112
27/172, 145/118, 530351/636056, 773054/205379
27/173, 146/119, 4326245/5177717, 6289415/1685159
27/175, 148/121, 4496239/5359375, 6502825/1771561
27/176, 149/122, 572851/681472, 826408/226981
27/178, 151/124, 594890/704969, 853955/238328
27/179, 152/125, 4848875/5735339, 6943589/1953125
27/181, 154/127, 5031613/5929741, 7171039/2048383
27/182, 155/128, 640576/753571, 910819/262144
27/184, 157/130, 664235/778688, 940148/274625
27/185, 158/131, 5410169/6331625, 7640315/2248091
27/187, 160/133, 5606083/6539203, 7882237/2352637
27/188, 161/134, 713215/830584, 1000630/300763
27/190, 163/136, 738548/857375, 1031795/314432
27/191, 164/137, 6011423/6967871, 8380889/2571353
27/193, 166/139, 6220945/7189057, 8637715/2685619
27/194, 167/140, 790930/912673, 1096003/343000
27/196, 169/82, 817991/941192, 2553728/68921
27/196, 169/142, 817991/941192, 1129058/357911
27/197, 170/143, 6653933/7645373, 9166607/2924207
27/199, 172/145, 6877495/7880599, 9438769/3048625
28/25, 45/101, 34441/15625, 123101/1030301
28/25, 56/11, 34441/15625, 1130291/1331
28/25, 60/169, 34441/15625, 1687609/4826809
28/25, 109/49, 34441/15625, 5820529/117649
28/37, 49/61, -5795/50653, -3515/226981
28/45, 63/125, -15499/91125, -15499/1953125
28/57, 29, 3305/185193, 188385
28/59, 31/3, 10947/205379, 215291/27
28/61, 33/5, 20005/226981, 244061/125
28/65, 37/9, 42561/274625, 307385/729
28/67, 39/11, 56155/300763, 342035/1331
28/69, 41/13, 71357/328509, 378741/2197
28/71, 43/15, 88215/357911, 417551/3375
28/73, 45/17, 106777/389017, 458513/4913
28/75, 47/19, 127091/421875, 501675/6859
28/79, 51/23, 173167/493039, 594791/12167
28/81, 53/25, 199025/531441, 644841/15625
28/83, 55/27, 226827/571787, 697283/19683
28/85, 57/29, 256621/614125, 752165/24389
28/87, 59/31, 288455/658503, 809535/29791
28/89, 61/33, 322377/704969, 869441/35937
28/93, 65/37, 396677/804357, 997053/50653
28/95, 67/39, 437151/857375, 1064855/59319
28/97, 69/41, 479905/912673, 1135385/68921
28/99, 71/43, 524987/970299, 1208691/79507
28/101, 73/45, 572445/1030301, 1284821/91125
28/103, 75/47, 622327/1092727, 1363823/103823
28/107, 79/51, 729555/1225043, 1530635/132651
28/109, 81/53, 786997/1295029, 1618541/148877
28/111, 83/55, 847055/1367631, 1709511/166375
28/113, 85/57, 909777/1442897, 1803593/185193
28/115, 87/59, 975211/1520875, 1900835/205379
28/117, 89/61, 1043405/1601613, 2001285/226981
28/121, 93/65, 1188265/1771561, 2212001/274625
28/123, 95/67, 1265027/1860867, 2322363/300763
28/125, 97/69, 1344741/1953125, 2436125/328509
28/127, 99/71, 1427455/2048383, 2553335/357911
28/129, 101/73, 1513217/2146689, 2674041/389017
28/131, 103/75, 1602075/2248091, 2798291/421875
28/135, 107/79, 1789271/2460375, 3057615/493039
28/137, 109/81, 1887705/2571353, 3192785/531441
28/139, 111/83, 1989427/2685619, 3331691/571787
28/141, 113/85, 2094485/2803221, 3474381/614125
28/143, 115/87, 2202927/2924207, 3620903/658503
28/145, 117/89, 2314801/3048625, 3771305/704969
28/149, 121/93, 2549037/3307949, 4083941/804357
28/151, 123/95, 2671495/3442951, 4246271/857375
28/153, 125/97, 2797577/3581577, 4412673/912673
28/155, 127/99, 2927331/3723875, 4583195/970299
28/157, 129/101, 3060805/3869893, 4757885/1030301
28/159, 131/103, 3198047/4019679, 4936791/1092727
28/163, 135/107, 3484027/4330747, 5307443/1225043
28/165, 137/109, 3632861/4492125, 5499285/1295029
28/167, 139/111, 3785655/4657463, 5695535/1367631
28/169, 141/113, 3942457/4826809, 5896241/1442897
28/171, 143/115, 4103315/5000211, 6101451/1520875
28/173, 145/117, 4268277/5177717, 6311213/1601613
28/177, 149/121, 4610705/5545233, 6744585/1771561
28/179, 151/123, 4788267/5735339, 6968291/1860867
28/181, 153/125, 4970125/5929741, 7196741/1953125
28/183, 155/127, 5156327/6128487, 7429983/2048383
28/185, 157/129, 5346921/6331625, 7668065/2146689
28/187, 159/131, 5541955/6539203, 7911035/2248091
28/191, 163/135, 5945535/6967871, 8411831/2460375
28/193, 165/137, 6154177/7189057, 8669753/2571353
28/195, 167/139, 6367451/7414875, 8932755/2685619
28/197, 169/141, 6585405/7645373, 9200885/2803221
28/199, 171/143, 6808087/7880599, 9474191/2924207
29/9, 138/25, 135289/729, 17231401/15625
29/14, 139/124, 12958/343, 528143/238328
29/31, 58/147, 16335/29791, 781355/3176523
29/31, 89/31, 16335/29791, 3705135/29791
29/36, 109/196, -55/5832, -92455/941192
29/59, 30, 3539/205379, 208801
29/60, 31/2, 929/27000, 27870
29/61, 32/3, 11685/226981, 237595/27
29/62, 33/4, 2038/29791, 31589/8
29/63, 34/5, 21295/250047, 268317/125
29/64, 35/6, 3333/32768, 35552/27
29/65, 36/7, 32417/274625, 301015/343
29/66, 37/8, 4820/35937, 39765/64
29/67, 38/9, 45099/300763, 335737/729
29/68, 39/10, 6505/39304, 44234/125
29/69, 40/11, 59389/328509, 372531/1331
29/70, 41/12, 8394/42875, 48965/216
29/71, 42/13, 75335/357911, 411445/2197
29/72, 43/14, 10493/46656, 53964/343
29/73, 44/15, 92985/389017, 452527/3375
29/74, 45/16, 12808/50653, 59237/512
29/75, 46/17, 112387/421875, 495825/4913
29/76, 47/18, 15345/54872, 64790/729
29/77, 48/19, 133589/456533, 541387/6859
29/78, 49/20, 18110/59319, 70629/1000
29/79, 50/21, 156639/493039, 589261/9261
29/80, 51/22, 21109/64000, 76760/1331
29/81, 52/23, 181585/531441, 639495/12167
29/82, 53/24, 24348/68921, 83189/1728
29/83, 54/25, 208475/571787, 692137/15625
29/84, 55/26, 27833/74088, 89922/2197
29/85, 56/27, 237357/614125, 747235/19683
29/86, 57/28, 31570/79507, 96965/2744
